County,Year,Population,State
Appomattox County,2019,16001,Virginia
Brunswick County,2017,16001,Virginia
Alleghany County,2014,16005,Virginia
Polk County,2012,16012,Tennessee
Chester County,2009,16013,Tennessee
Buckingham County,2006,16013,Virginia
Jasper County,2012,16018,South Carolina
Williamsburg city,2024,16030,Virginia
Brunswick County,2016,16033,Virginia
Wayne County,2023,16047,Tennessee
Johnson County,2006,16053,Tennessee
Fentress County,2014,16062,Tennessee
Brunswick County,2015,16066,Virginia
Buckingham County,2007,16073,Virginia
Westmoreland County,2005,16089,Virginia
Brunswick County,2014,16098,Virginia
Radford city,2020,16115,Virginia
Williamsburg city,2023,16116,Virginia
Lee County,2022,16119,South Carolina
Brunswick County,2013,16130,Virginia
Buckingham County,2008,16133,Virginia
Chester County,2010,16136,Tennessee
Dickenson County,2007,16140,Virginia
Alleghany County,2013,16148,Virginia
Appomattox County,2020,16158,Virginia
Brunswick County,2012,16162,Virginia
Benton County,2023,16167,Tennessee
Benton County,2024,16173,Tennessee
Johnson County,2007,16187,Tennessee
Buckingham County,2009,16193,Virginia
Brunswick County,2011,16194,Virginia
Polk County,2013,16201,Tennessee
King William County,2015,16208,Virginia
Colonial Heights city,2005,16218,Virginia
Wayne County,2020,16225,Tennessee
DeKalb County,2010,16227,Tennessee
Brunswick County,2010,16227,Virginia
Westmoreland County,2006,16250,Virginia
Buckingham County,2010,16253,Virginia
Chester County,2011,16259,Tennessee
Wayne County,2022,16259,Tennessee
Brunswick County,2009,16259,Virginia
Lee County,2021,16278,South Carolina
Brunswick County,2008,16291,Virginia
Alleghany County,2012,16292,Virginia
Dickenson County,2006,16300,Virginia
Buckingham County,2011,16313,Virginia
Union County,2009,16314,Tennessee
Bristol city,2024,16316,Virginia
Johnson County,2008,16321,Tennessee
Brunswick County,2007,16323,Virginia
Wayne County,2021,16334,Tennessee
Colonial Heights city,2006,16343,Virginia
Brunswick County,2006,16355,Virginia
Buckingham County,2012,16373,Virginia
Goochland County,2010,16378,Virginia
Chester County,2012,16382,Tennessee
Brunswick County,2005,16388,Virginia
Polk County,2014,16389,Tennessee
Wayne County,2019,16404,Tennessee
Appomattox County,2021,16405,Virginia
Fairfax city,2006,16407,Virginia
Westmoreland County,2007,16411,Virginia
Giles County,2022,16430,Virginia
Buckingham County,2013,16433,Virginia
Alleghany County,2011,16435,Virginia
Sequatchie County,2021,16448,Tennessee
Manassas Park city,2023,16448,Virginia
Johnson County,2009,16455,Tennessee
Dickenson County,2005,16461,Virginia
Giles County,2023,16461,Virginia
Fentress County,2015,16467,Tennessee
Colonial Heights city,2007,16469,Virginia
Wayne County,2018,16483,Tennessee
Buckingham County,2014,16493,Virginia
Chester County,2013,16505,Tennessee
Radford city,2021,16525,Virginia
Giles County,2024,16533,Virginia
Lee County,2020,16546,South Carolina
King William County,2016,16549,Virginia
Buckingham County,2015,16553,Virginia
Wayne County,2017,16562,Tennessee
Edgefield County,2011,16564,South Carolina
Westmoreland County,2008,16572,Virginia
Giles County,2021,16574,Virginia
Polk County,2015,16578,Tennessee
Alleghany County,2010,16578,Virginia
Johnson County,2010,16589,Tennessee
Colonial Heights city,2008,16594,Virginia
Manassas Park city,2024,16611,Virginia
Saluda County,2005,16614,South Carolina
Buckingham County,2016,16614,Virginia
DeKalb County,2011,16621,Tennessee
Lee County,2019,16623,South Carolina
Chester County,2014,16628,Tennessee
Union County,2010,16631,Tennessee
Greene County,2005,16639,Virginia
Wayne County,2016,16641,Tennessee
Bristol city,2023,16668,Virginia
Buckingham County,2017,16674,Virginia
Manassas Park city,2022,16675,Virginia
Appomattox County,2022,16696,Virginia
Wayne County,2015,16720,Tennessee
Colonial Heights city,2009,16720,Virginia
Alleghany County,2009,16721,Virginia
Johnson County,2011,16723,Tennessee
Radford city,2022,16723,Virginia
Westmoreland County,2009,16733,Virginia
Buckingham County,2018,16734,Virginia
Giles County,2019,16742,Virginia
Chester County,2015,16751,Tennessee
Saluda County,2006,16762,South Carolina
New Kent County,2014,16765,Virginia
Polk County,2016,16766,Tennessee
Lee County,2018,16776,South Carolina
Giles County,2020,16786,Virginia
Buckingham County,2019,16794,Virginia
Wayne County,2014,16799,Tennessee
Giles County,2018,16804,Virginia
Buckingham County,2020,16830,Virginia
Appomattox County,2023,16835,Virginia
Colonial Heights city,2010,16845,Virginia
Johnson County,2012,16857,Tennessee
Alleghany County,2008,16865,Virginia
Giles County,2017,16866,Virginia
Fentress County,2016,16873,Tennessee
Chester County,2016,16874,Tennessee
Wayne County,2013,16877,Tennessee
Bristol city,2022,16884,Virginia
King William County,2017,16890,Virginia
Westmoreland County,2010,16894,Virginia
Greene County,2006,16905,Virginia
Saluda County,2007,16910,South Carolina
Giles County,2016,16928,Virginia
Lee County,2017,16929,South Carolina
Sequatchie County,2022,16943,Tennessee
Fairfax city,2007,16945,Virginia
Union County,2011,16947,Tennessee
Polk County,2017,16955,Tennessee
Wayne County,2012,16956,Tennessee
Appomattox County,2024,16957,Virginia
Buckingham County,2021,16957,Virginia
Smith County,2005,16966,Tennessee
Colonial Heights city,2011,16971,Virginia
Buckingham County,2022,16983,Virginia
Buckingham County,2023,16988,Virginia
Giles County,2015,16990,Virginia
Johnson County,2013,16991,Tennessee
Radford city,2023,16994,Virginia
Chester County,2017,16996,Tennessee
Alleghany County,2007,17008,Virginia
DeKalb County,2012,17015,Tennessee
Wayne County,2011,17035,Tennessee
Giles County,2014,17052,Virginia
Westmoreland County,2011,17055,Virginia
Saluda County,2008,17058,South Carolina
Bristol city,2021,17074,Virginia
Lee County,2016,17081,South Carolina
Manassas Park city,2021,17094,Virginia
Colonial Heights city,2012,17096,Virginia
Haywood County,2024,17097,Tennessee
Giles County,2013,17113,Virginia
Wayne County,2010,17114,Tennessee
Buckingham County,2024,17115,Virginia
Chester County,2018,17119,Tennessee
Humphreys County,2005,17122,Tennessee
Johnson County,2014,17125,Tennessee
Polk County,2018,17144,Tennessee
Alleghany County,2006,17151,Virginia
Manassas Park city,2020,17164,Virginia
Smith County,2006,17168,Tennessee
Greene County,2007,17171,Virginia
Giles County,2012,17175,Virginia
Sequatchie County,2023,17189,Tennessee
Wayne County,2009,17193,Tennessee
Saluda County,2009,17206,South Carolina
Goochland County,2011,17214,Virginia
Westmoreland County,2012,17216,Virginia
Colonial Heights city,2013,17222,Virginia
King William County,2018,17230,Virginia
