County,Year,Population,State
Highland County,2005,1740,Virginia
Highland County,2006,1773,Virginia
Highland County,2007,1805,Virginia
Highland County,2008,1838,Virginia
Highland County,2009,1871,Virginia
Highland County,2010,1903,Virginia
Highland County,2011,1936,Virginia
Highland County,2012,1969,Virginia
Highland County,2013,2002,Virginia
Highland County,2014,2034,Virginia
Highland County,2015,2067,Virginia
Highland County,2016,2100,Virginia
Highland County,2017,2132,Virginia
Highland County,2018,2165,Virginia
Highland County,2019,2198,Virginia
Highland County,2020,2240,Virginia
Highland County,2021,2240,Virginia
Highland County,2022,2303,Virginia
Highland County,2024,2348,Virginia
Highland County,2023,2351,Virginia
Norton city,2024,3478,Virginia
Norton city,2023,3501,Virginia
Norton city,2022,3594,Virginia
Norton city,2021,3631,Virginia
Norton city,2020,3681,Virginia
Norton city,2019,3737,Virginia
Norton city,2018,3791,Virginia
Norton city,2017,3845,Virginia
Norton city,2016,3898,Virginia
Norton city,2015,3952,Virginia
Norton city,2014,4005,Virginia
Norton city,2013,4059,Virginia
Bath County,2023,4070,Virginia
Bath County,2024,4071,Virginia
Bath County,2022,4077,Virginia
Bath County,2021,4094,Virginia
Norton city,2012,4113,Virginia
Norton city,2011,4166,Virginia
Bath County,2019,4177,Virginia
Bath County,2020,4188,Virginia
Bath County,2018,4203,Virginia
Norton city,2010,4220,Virginia
Van Buren County,2005,4222,Tennessee
Bath County,2017,4229,Virginia
Bath County,2016,4254,Virginia
Norton city,2009,4273,Virginia
Bath County,2015,4280,Virginia
Bath County,2014,4306,Virginia
Norton city,2008,4327,Virginia
Bath County,2013,4332,Virginia
Van Buren County,2006,4352,Tennessee
Bath County,2012,4358,Virginia
Norton city,2007,4381,Virginia
Bath County,2011,4383,Virginia
Bath County,2010,4409,Virginia
Norton city,2006,4434,Virginia
Bath County,2009,4435,Virginia
Bath County,2008,4461,Virginia
Van Buren County,2007,4482,Tennessee
Bath County,2007,4487,Virginia
Norton city,2005,4488,Virginia
Bath County,2006,4512,Virginia
Bath County,2005,4538,Virginia
Van Buren County,2008,4613,Tennessee
Pickett County,2005,4635,Tennessee
Pickett County,2006,4661,Tennessee
Pickett County,2007,4687,Tennessee
Pickett County,2008,4713,Tennessee
Jasper County,2005,4714,South Carolina
Pickett County,2009,4739,Tennessee
Van Buren County,2009,4743,Tennessee
Pickett County,2010,4765,Tennessee
Pickett County,2011,4791,Tennessee
Pickett County,2012,4817,Tennessee
Craig County,2023,4827,Virginia
Craig County,2024,4829,Virginia
Pickett County,2013,4843,Tennessee
Craig County,2022,4859,Virginia
Pickett County,2014,4870,Tennessee
Van Buren County,2010,4873,Tennessee
Craig County,2020,4880,Virginia
Craig County,2021,4891,Virginia
Pickett County,2015,4896,Tennessee
Craig County,2019,4907,Virginia
Pickett County,2016,4922,Tennessee
Craig County,2018,4923,Virginia
Craig County,2017,4940,Virginia
Pickett County,2017,4948,Tennessee
Craig County,2016,4956,Virginia
Craig County,2015,4973,Virginia
Pickett County,2018,4974,Tennessee
Craig County,2014,4990,Virginia
Pickett County,2020,4999,Tennessee
Pickett County,2019,5000,Tennessee
Van Buren County,2011,5004,Tennessee
Craig County,2013,5006,Virginia
Craig County,2012,5023,Virginia
Craig County,2011,5039,Virginia
Craig County,2010,5056,Virginia
Pickett County,2021,5071,Tennessee
Craig County,2009,5073,Virginia
Craig County,2008,5089,Virginia
Pickett County,2022,5102,Tennessee
Craig County,2007,5106,Virginia
Pickett County,2024,5108,Tennessee
Pickett County,2023,5114,Tennessee
Craig County,2006,5122,Virginia
Van Buren County,2012,5134,Tennessee
Craig County,2005,5139,Virginia
Hancock County,2005,5163,Tennessee
Hancock County,2006,5262,Tennessee
Van Buren County,2013,5264,Tennessee
Hancock County,2007,5362,Tennessee
Van Buren County,2014,5394,Tennessee
Emporia city,2024,5402,Virginia
Moore County,2005,5409,Tennessee
Hancock County,2008,5461,Tennessee
Emporia city,2023,5479,Virginia
Moore County,2006,5484,Tennessee
Emporia city,2022,5524,Virginia
Van Buren County,2015,5525,Tennessee
Moore County,2007,5558,Tennessee
Hancock County,2009,5560,Tennessee
Covington city,2023,5611,Virginia
Emporia city,2021,5628,Virginia
Moore County,2008,5632,Tennessee
Van Buren County,2016,5655,Tennessee
Hancock County,2010,5660,Tennessee
Covington city,2024,5663,Virginia
Covington city,2022,5668,Virginia
Lexington city,2005,5676,Virginia
Emporia city,2020,5694,Virginia
Moore County,2009,5707,Tennessee
Covington city,2021,5715,Virginia
Covington city,2020,5745,Virginia
Hancock County,2011,5759,Tennessee
Covington city,2019,5760,Virginia
Emporia city,2019,5765,Virginia
Moore County,2010,5781,Tennessee
Van Buren County,2017,5785,Tennessee
Lexington city,2006,5785,Virginia
Covington city,2018,5787,Virginia
Covington city,2017,5814,Virginia
Emporia city,2018,5838,Virginia
Covington city,2016,5841,Virginia
Moore County,2011,5856,Tennessee
Hancock County,2012,5858,Tennessee
Covington city,2015,5868,Virginia
Covington city,2014,5894,Virginia
Lexington city,2007,5894,Virginia
Emporia city,2017,5911,Virginia
Van Buren County,2018,5916,Tennessee
Covington city,2013,5921,Virginia
Moore County,2012,5930,Tennessee
Covington city,2012,5948,Virginia
Perry County,2005,5953,Tennessee
Hancock County,2013,5958,Tennessee
Covington city,2011,5975,Virginia
Emporia city,2016,5985,Virginia
Covington city,2010,6002,Virginia
Lexington city,2008,6003,Virginia
Moore County,2013,6004,Tennessee
Covington city,2009,6028,Virginia
King and Queen County,2005,6032,Virginia
Van Buren County,2019,6046,Tennessee
Covington city,2008,6055,Virginia
Hancock County,2014,6057,Tennessee
Emporia city,2015,6058,Virginia
King and Queen County,2006,6071,Virginia
Moore County,2014,6079,Tennessee
Covington city,2007,6082,Virginia
Covington city,2006,6109,Virginia
King and Queen County,2007,6110,Virginia
Lexington city,2009,6111,Virginia
Perry County,2006,6114,Tennessee
Emporia city,2014,6131,Virginia
Covington city,2005,6136,Virginia
King and Queen County,2008,6149,Virginia
Bland County,2022,6151,Virginia
Moore County,2015,6153,Tennessee
Hancock County,2015,6156,Tennessee
Van Buren County,2020,6175,Tennessee
Bland County,2021,6179,Virginia
Bland County,2024,6186,Virginia
King and Queen County,2009,6188,Virginia
Emporia city,2013,6205,Virginia
Lexington city,2010,6220,Virginia
Bland County,2023,6221,Virginia
King and Queen County,2010,6227,Virginia
Moore County,2016,6228,Tennessee
Bland County,2019,6228,Virginia
Bland County,2018,6237,Virginia
Bland County,2017,6247,Virginia
Hancock County,2016,6255,Tennessee
Bland County,2020,6256,Virginia
Bland County,2016,6257,Virginia
King and Queen County,2011,6266,Virginia
Bland County,2015,6267,Virginia
Perry County,2007,6276,Tennessee
Bland County,2014,6277,Virginia
Emporia city,2012,6278,Virginia
Bland County,2013,6286,Virginia
Van Buren County,2021,6295,Tennessee
Bland County,2012,6296,Virginia
Moore County,2017,6302,Tennessee
King and Queen County,2012,6305,Virginia
Bland County,2011,6306,Virginia
Bland County,2010,6316,Virginia
Bland County,2009,6326,Virginia
Jasper County,2006,6329,South Carolina
Lexington city,2011,6329,Virginia
Bland County,2008,6335,Virginia
King and Queen County,2013,6344,Virginia
Bland County,2007,6345,Virginia
Emporia city,2011,6351,Virginia
Hancock County,2017,6355,Tennessee
Bland County,2006,6355,Virginia
Bland County,2005,6365,Virginia
Moore County,2018,6376,Tennessee
King and Queen County,2014,6383,Virginia
Surry County,2005,6386,Virginia
Surry County,2006,6395,Virginia
Surry County,2007,6405,Virginia
Lake County,2023,6407,Tennessee
Galax city,2005,6410,Virginia
Surry County,2008,6414,Virginia
Lake County,2024,6422,Tennessee
King and Queen County,2015,6422,Virginia
Surry County,2009,6424,Virginia
Emporia city,2010,6425,Virginia
Galax city,2006,6429,Virginia
Surry County,2010,6434,Virginia
Perry County,2008,6437,Tennessee
Lexington city,2012,6437,Virginia
Surry County,2011,6443,Virginia
Galax city,2007,6448,Virginia
Moore County,2019,6451,Tennessee
Surry County,2012,6453,Virginia
Hancock County,2018,6454,Tennessee
Van Buren County,2022,6455,Tennessee
King and Queen County,2016,6461,Virginia
Surry County,2013,6462,Virginia
Moore County,2020,6466,Tennessee
Galax city,2008,6466,Virginia
Surry County,2014,6472,Virginia
Surry County,2015,6482,Virginia
Galax city,2009,6485,Virginia
Surry County,2016,6491,Virginia
Lake County,2022,6493,Tennessee
Emporia city,2009,6498,Virginia
King and Queen County,2017,6500,Virginia
Surry County,2017,6501,Virginia
Galax city,2010,6503,Virginia
Surry County,2022,6506,Virginia
Surry County,2018,6510,Virginia
Surry County,2019,6520,Virginia
Galax city,2011,6522,Virginia
Surry County,2021,6535,Virginia
King and Queen County,2018,6539,Virginia
Galax city,2012,6541,Virginia
Lexington city,2013,6546,Virginia
Surry County,2020,6551,Virginia
Hancock County,2019,6553,Tennessee
Galax city,2013,6559,Virginia
Charles City County,2024,6564,Virginia
Buena Vista city,2022,6567,Virginia
Emporia city,2008,6571,Virginia
Buena Vista city,2023,6574,Virginia
Surry County,2023,6575,Virginia
Van Buren County,2023,6576,Tennessee
Galax city,2014,6578,Virginia
King and Queen County,2019,6578,Virginia
Surry County,2024,6579,Virginia
Charles City County,2022,6580,Virginia
Buena Vista city,2024,6581,Virginia
Lake County,2021,6588,Tennessee
King and Queen County,2020,6589,Virginia
Galax city,2015,6596,Virginia
Perry County,2009,6598,Tennessee
Charles City County,2021,6611,Virginia
Galax city,2016,6615,Virginia
Buena Vista city,2020,6621,Virginia
Buena Vista city,2021,6624,Virginia
Hancock County,2020,6626,Tennessee
Buena Vista city,2019,6632,Virginia
Galax city,2017,6634,Virginia
Charles City County,2023,6635,Virginia
Clay County,2005,6637,Tennessee
Moore County,2021,6644,Tennessee
Emporia city,2007,6644,Virginia
Buena Vista city,2018,6645,Virginia
Galax city,2018,6652,Virginia
Lexington city,2014,6655,Virginia
Galax city,2021,6657,Virginia
Buena Vista city,2017,6658,Virginia
Buena Vista city,2016,6671,Virginia
Galax city,2019,6671,Virginia
King and Queen County,2021,6672,Virginia
Buena Vista city,2015,6684,Virginia
Van Buren County,2024,6686,Tennessee
Buena Vista city,2014,6697,Virginia
Clay County,2006,6698,Tennessee
Buena Vista city,2013,6710,Virginia
Moore County,2022,6715,Tennessee
Galax city,2020,6717,Virginia
Emporia city,2006,6718,Virginia
King and Queen County,2022,6721,Virginia
Buena Vista city,2012,6723,Virginia
Galax city,2022,6724,Virginia
Charles City County,2019,6729,Virginia
Buena Vista city,2011,6736,Virginia
Galax city,2024,6739,Virginia
Charles City County,2020,6746,Virginia
King and Queen County,2023,6746,Virginia
King and Queen County,2024,6747,Virginia
Buena Vista city,2010,6749,Virginia
Clay County,2007,6759,Tennessee
Perry County,2010,6760,Tennessee
Buena Vista city,2009,6762,Virginia
Charles City County,2018,6763,Virginia
Lexington city,2015,6763,Virginia
Moore County,2024,6773,Tennessee
Moore County,2023,6774,Tennessee
Buena Vista city,2008,6775,Virginia
Buena Vista city,2007,6788,Virginia
Emporia city,2005,6791,Virginia
Hancock County,2021,6794,Tennessee
Charles City County,2017,6797,Virginia
Galax city,2023,6799,Virginia
Buena Vista city,2006,6801,Virginia
Buena Vista city,2005,6814,Virginia
Clay County,2008,6820,Tennessee
Charles City County,2016,6831,Virginia
Hancock County,2022,6838,Tennessee
Rappahannock County,2005,6862,Virginia
Charles City County,2015,6865,Virginia
Lexington city,2016,6872,Virginia
Clay County,2009,6880,Tennessee
Rappahannock County,2006,6896,Virginia
Charles City County,2014,6899,Virginia
Perry County,2011,6921,Tennessee
Rappahannock County,2007,6929,Virginia
Charles City County,2013,6933,Virginia
Clay County,2010,6941,Tennessee
Rappahannock County,2008,6962,Virginia
Hancock County,2023,6963,Tennessee
Charles City County,2012,6967,Virginia
Lake County,2019,6971,Tennessee
Lexington city,2017,6981,Virginia
Lake County,2020,6985,Tennessee
Rappahannock County,2009,6995,Virginia
Charles City County,2011,7001,Virginia
Clay County,2011,7002,Tennessee
Rappahannock County,2010,7028,Virginia
Charles City County,2010,7035,Virginia
Hancock County,2024,7038,Tennessee
Clay County,2012,7062,Tennessee
Rappahannock County,2011,7062,Virginia
Charles City County,2009,7069,Virginia
Perry County,2012,7083,Tennessee
Lexington city,2018,7090,Virginia
Rappahannock County,2012,7095,Virginia
Lake County,2018,7101,Tennessee
Charles City County,2008,7103,Virginia
Clay County,2013,7123,Tennessee
Rappahannock County,2013,7128,Virginia
Charles City County,2007,7137,Virginia
Rappahannock County,2014,7161,Virginia
Charles City County,2006,7171,Virginia
Clay County,2014,7184,Tennessee
Rappahannock County,2015,7194,Virginia
Lexington city,2019,7198,Virginia
Charles City County,2005,7205,Virginia
Franklin city,2005,7213,Virginia
Rappahannock County,2016,7228,Virginia
Lake County,2017,7232,Tennessee
Clay County,2015,7244,Tennessee
Perry County,2013,7244,Tennessee
Rappahannock County,2017,7261,Virginia
Franklin city,2006,7274,Virginia
Rappahannock County,2018,7294,Virginia
Clay County,2016,7305,Tennessee
Lexington city,2020,7315,Virginia
Rappahannock County,2020,7323,Virginia
Rappahannock County,2019,7327,Virginia
Franklin city,2007,7335,Virginia
Lake County,2016,7363,Tennessee
Clay County,2017,7366,Tennessee
Houston County,2005,7380,Tennessee
New Kent County,2005,7382,Virginia
Franklin city,2008,7396,Virginia
Perry County,2014,7405,Tennessee
Clay County,2018,7427,Tennessee
Rappahannock County,2021,7435,Virginia
Houston County,2006,7437,Tennessee
Lexington city,2021,7443,Virginia
Rappahannock County,2022,7445,Virginia
Rappahannock County,2023,7455,Virginia
Franklin city,2009,7457,Virginia
Rappahannock County,2024,7479,Virginia
Clay County,2019,7487,Tennessee
Lake County,2015,7493,Tennessee
Houston County,2007,7494,Tennessee
Allendale County,2022,7508,South Carolina
Lexington city,2022,7508,Virginia
Franklin city,2010,7518,Virginia
Allendale County,2024,7551,South Carolina
Houston County,2008,7551,Tennessee
Lexington city,2023,7556,Virginia
Perry County,2015,7567,Tennessee
Franklin city,2011,7579,Virginia
Clay County,2021,7591,Tennessee
Clay County,2020,7594,Tennessee
Allendale County,2023,7596,South Carolina
Houston County,2009,7609,Tennessee
Lake County,2014,7624,Tennessee
Clay County,2022,7635,Tennessee
Franklin city,2012,7640,Virginia
Houston County,2010,7666,Tennessee
Clay County,2023,7672,Tennessee
Franklin city,2013,7701,Virginia
Allendale County,2021,7714,South Carolina
Houston County,2011,7723,Tennessee
Perry County,2016,7728,Tennessee
Lake County,2013,7755,Tennessee
Franklin city,2014,7762,Virginia
Houston County,2012,7780,Tennessee
Lexington city,2024,7802,Virginia
Franklin city,2015,7823,Virginia
Houston County,2013,7837,Tennessee
Clay County,2024,7857,Tennessee
Franklin city,2016,7884,Virginia
Lake County,2012,7886,Tennessee
Perry County,2017,7890,Tennessee
Houston County,2014,7895,Tennessee
Allendale County,2019,7925,South Carolina
Allendale County,2020,7934,South Carolina
Richmond County,2005,7943,Virginia
Jasper County,2007,7944,South Carolina
Franklin city,2017,7945,Virginia
Houston County,2015,7952,Tennessee
Franklin city,2018,8006,Virginia
Houston County,2016,8009,Tennessee
Richmond County,2006,8011,Virginia
Allendale County,2018,8014,South Carolina
Lake County,2011,8016,Tennessee
Perry County,2018,8051,Tennessee
Houston County,2017,8066,Tennessee
Franklin city,2019,8067,Virginia
Richmond County,2007,8079,Virginia
Allendale County,2017,8102,South Carolina
Houston County,2018,8123,Tennessee
Richmond County,2008,8146,Virginia
Lake County,2010,8147,Tennessee
Franklin city,2020,8148,Virginia
Franklin city,2021,8156,Virginia
McCormick County,2005,8162,South Carolina
Houston County,2019,8181,Tennessee
Allendale County,2016,8191,South Carolina
Perry County,2019,8212,Tennessee
Richmond County,2009,8214,Virginia
Mathews County,2005,8218,Virginia
Houston County,2022,8230,Tennessee
Mathews County,2006,8237,Virginia
Cumberland County,2005,8250,Virginia
McCormick County,2006,8256,South Carolina
Mathews County,2007,8256,Virginia
Franklin city,2022,8259,Virginia
Mathews County,2008,8275,Virginia
Lake County,2009,8278,Tennessee
Allendale County,2015,8279,South Carolina
Richmond County,2010,8282,Virginia
Houston County,2021,8292,Tennessee
Mathews County,2009,8294,Virginia
Houston County,2020,8305,Tennessee
Mathews County,2010,8313,Virginia
Franklin city,2023,8316,Virginia
Mathews County,2011,8332,Virginia
Cumberland County,2006,8342,Virginia
Richmond County,2011,8349,Virginia
McCormick County,2007,8350,South Carolina
Mathews County,2012,8351,Virginia
Allendale County,2014,8367,South Carolina
Mathews County,2013,8370,Virginia
Franklin city,2024,8373,Virginia
Meigs County,2005,8385,Tennessee
Perry County,2020,8386,Tennessee
Mathews County,2014,8389,Virginia
Houston County,2023,8398,Tennessee
Mathews County,2015,8407,Virginia
Lake County,2008,8408,Tennessee
Richmond County,2012,8417,Virginia
New Kent County,2006,8425,Virginia
Mathews County,2016,8426,Virginia
Cumberland County,2007,8435,Virginia
McCormick County,2008,8444,South Carolina
Mathews County,2017,8445,Virginia
Allendale County,2013,8456,South Carolina
Mathews County,2018,8464,Virginia
Mathews County,2022,8467,Virginia
Mathews County,2019,8483,Virginia
Richmond County,2013,8485,Virginia
Perry County,2021,8499,Tennessee
Mathews County,2020,8519,Virginia
Jackson County,2005,8521,Tennessee
Cumberland County,2008,8527,Virginia
McCormick County,2009,8538,South Carolina
Houston County,2024,8538,Tennessee
Lake County,2007,8539,Tennessee
Allendale County,2012,8544,South Carolina
Mathews County,2021,8545,Virginia
Richmond County,2014,8553,Virginia
Mathews County,2023,8568,Virginia
Mathews County,2024,8602,Virginia
Cumberland County,2009,8619,Virginia
Richmond County,2015,8620,Virginia
McCormick County,2010,8632,South Carolina
Allendale County,2011,8633,South Carolina
Lake County,2006,8670,Tennessee
Meigs County,2006,8677,Tennessee
Richmond County,2016,8688,Virginia
Perry County,2022,8702,Tennessee
Cumberland County,2010,8711,Virginia
Allendale County,2010,8721,South Carolina
McCormick County,2011,8726,South Carolina
Jackson County,2006,8728,Tennessee
Richmond County,2017,8756,Virginia
Lake County,2005,8800,Tennessee
Cumberland County,2011,8803,Virginia
Allendale County,2009,8809,South Carolina
McCormick County,2012,8820,South Carolina
Richmond County,2018,8823,Virginia
Richmond County,2019,8891,Virginia
Cumberland County,2012,8896,Virginia
Allendale County,2008,8898,South Carolina
Perry County,2023,8911,Tennessee
McCormick County,2013,8914,South Carolina
Richmond County,2020,8918,Virginia
Jackson County,2007,8934,Tennessee
Meigs County,2007,8969,Tennessee
Allendale County,2007,8986,South Carolina
Perry County,2024,8987,Tennessee
Cumberland County,2013,8988,Virginia
Trousdale County,2005,8992,Tennessee
McCormick County,2014,9008,South Carolina
Allendale County,2006,9075,South Carolina
Richmond County,2021,9079,Virginia
Cumberland County,2014,9080,Virginia
Richmond County,2022,9099,Virginia
McCormick County,2015,9102,South Carolina
Jackson County,2008,9140,Tennessee
Richmond County,2023,9162,Virginia
Allendale County,2005,9163,South Carolina
Trousdale County,2006,9166,Tennessee
Cumberland County,2015,9172,Virginia
McCormick County,2016,9196,South Carolina
Richmond County,2024,9215,Virginia
Meigs County,2008,9260,Tennessee
Cumberland County,2016,9264,Virginia
McCormick County,2017,9290,South Carolina
Trousdale County,2007,9341,Tennessee
Jackson County,2009,9346,Tennessee
Cumberland County,2017,9357,Virginia
McCormick County,2018,9384,South Carolina
Middlesex County,2005,9425,Virginia
Cumberland County,2018,9449,Virginia
New Kent County,2007,9467,Virginia
McCormick County,2019,9478,South Carolina
Middlesex County,2006,9509,Virginia
Trousdale County,2008,9515,Tennessee
Sequatchie County,2005,9521,Tennessee
McCormick County,2020,9522,South Carolina
Cumberland County,2019,9541,Virginia
Meigs County,2009,9552,Tennessee
Jackson County,2010,9553,Tennessee
Jasper County,2008,9558,South Carolina
Middlesex County,2007,9592,Virginia
Middlesex County,2008,9676,Virginia
Cumberland County,2020,9679,Virginia
Trousdale County,2009,9690,Tennessee
Northumberland County,2005,9714,Virginia
Cumberland County,2021,9719,Virginia
McCormick County,2022,9741,South Carolina
Lewis County,2005,9741,Tennessee
Cumberland County,2022,9755,Virginia
Jackson County,2011,9759,Tennessee
Middlesex County,2009,9760,Virginia
McCormick County,2021,9768,South Carolina
McCormick County,2023,9786,South Carolina
Decatur County,2005,9819,Tennessee
Meigs County,2010,9843,Tennessee
Middlesex County,2010,9843,Virginia
Northumberland County,2006,9859,Virginia
Trousdale County,2010,9864,Tennessee
Cumberland County,2023,9875,Virginia
Decatur County,2006,9923,Tennessee
Middlesex County,2011,9927,Virginia
Lewis County,2006,9933,Tennessee
Sequatchie County,2006,9950,Tennessee
Jackson County,2012,9965,Tennessee
McCormick County,2024,9983,South Carolina
Northumberland County,2007,10005,Virginia
Middlesex County,2012,10010,Virginia
Decatur County,2007,10026,Tennessee
Trousdale County,2011,10038,Tennessee
Cumberland County,2024,10062,Virginia
Middlesex County,2013,10094,Virginia
Lewis County,2007,10124,Tennessee
Decatur County,2008,10130,Tennessee
Meigs County,2011,10135,Tennessee
Northumberland County,2008,10150,Virginia
Jackson County,2013,10172,Tennessee
Middlesex County,2014,10178,Virginia
Trousdale County,2012,10213,Tennessee
Decatur County,2009,10233,Tennessee
Essex County,2005,10252,Virginia
Middlesex County,2015,10261,Virginia
Essex County,2006,10274,Virginia
Essex County,2007,10295,Virginia
Northumberland County,2009,10296,Virginia
Lewis County,2008,10315,Tennessee
Essex County,2008,10317,Virginia
Decatur County,2010,10337,Tennessee
Essex County,2009,10339,Virginia
Middlesex County,2016,10345,Virginia
Essex County,2010,10361,Virginia
Jackson County,2014,10378,Tennessee
Sequatchie County,2007,10378,Tennessee
Essex County,2011,10383,Virginia
Trousdale County,2013,10387,Tennessee
Essex County,2012,10404,Virginia
Essex County,2013,10426,Virginia
Meigs County,2012,10427,Tennessee
Lancaster County,2005,10428,Virginia
Middlesex County,2017,10428,Virginia
Decatur County,2011,10440,Tennessee
Northumberland County,2010,10441,Virginia
Essex County,2014,10448,Virginia
Lancaster County,2006,10458,Virginia
Essex County,2015,10470,Virginia
Lancaster County,2007,10488,Virginia
Essex County,2016,10492,Virginia
Lewis County,2009,10506,Tennessee
New Kent County,2008,10510,Virginia
Middlesex County,2018,10512,Virginia
Essex County,2017,10513,Virginia
Lancaster County,2008,10517,Virginia
Essex County,2018,10535,Virginia
Decatur County,2012,10544,Tennessee
Lancaster County,2009,10547,Virginia
Essex County,2019,10557,Virginia
Trousdale County,2014,10562,Tennessee
Essex County,2021,10572,Virginia
Lancaster County,2010,10577,Virginia
Jackson County,2015,10584,Tennessee
Northumberland County,2011,10587,Virginia
Middlesex County,2019,10596,Virginia
Essex County,2020,10597,Virginia
Lancaster County,2011,10607,Virginia
Middlesex County,2020,10611,Virginia
Edgefield County,2005,10613,South Carolina
Essex County,2023,10618,Virginia
Lancaster County,2012,10637,Virginia
Essex County,2022,10644,Virginia
Decatur County,2013,10647,Tennessee
Sussex County,2022,10652,Virginia
Lancaster County,2013,10666,Virginia
Essex County,2024,10683,Virginia
Lancaster County,2014,10696,Virginia
Lewis County,2010,10697,Tennessee
Meigs County,2013,10718,Tennessee
Lancaster County,2015,10726,Virginia
Northumberland County,2012,10732,Virginia
Trousdale County,2015,10736,Tennessee
Decatur County,2014,10751,Tennessee
Sussex County,2024,10753,Virginia
Lancaster County,2016,10756,Virginia
Middlesex County,2021,10778,Virginia
Lancaster County,2017,10786,Virginia
Jackson County,2016,10791,Tennessee
Sussex County,2023,10794,Virginia
Sussex County,2020,10798,Virginia
Sussex County,2019,10802,Virginia
Sequatchie County,2008,10807,Tennessee
Sussex County,2018,10814,Virginia
Lancaster County,2018,10815,Virginia
Sussex County,2017,10826,Virginia
Sussex County,2021,10828,Virginia
Lancaster County,2022,10838,Virginia
Sussex County,2016,10839,Virginia
Lancaster County,2019,10845,Virginia
Sussex County,2015,10851,Virginia
Decatur County,2015,10854,Tennessee
Sussex County,2014,10864,Virginia
Sussex County,2013,10876,Virginia
Northumberland County,2013,10878,Virginia
Sussex County,2012,10888,Virginia
Lewis County,2011,10889,Tennessee
Sussex County,2011,10901,Virginia
Lancaster County,2020,10905,Virginia
Trousdale County,2016,10910,Tennessee
Sussex County,2010,10913,Virginia
Sussex County,2009,10926,Virginia
Lancaster County,2023,10927,Virginia
Middlesex County,2023,10938,Virginia
Sussex County,2008,10938,Virginia
Lancaster County,2021,10943,Virginia
Middlesex County,2024,10949,Virginia
Sussex County,2007,10950,Virginia
Decatur County,2016,10958,Tennessee
Middlesex County,2022,10958,Virginia
Sussex County,2006,10963,Virginia
Sussex County,2005,10975,Virginia
Jackson County,2017,10997,Tennessee
Meigs County,2014,11010,Tennessee
Northumberland County,2014,11023,Virginia
Stewart County,2005,11060,Tennessee
Decatur County,2017,11061,Tennessee
Lancaster County,2024,11062,Virginia
Lewis County,2012,11080,Tennessee
Trousdale County,2017,11085,Tennessee
Grundy County,2005,11104,Tennessee
Greensville County,2024,11150,Virginia
Decatur County,2018,11165,Tennessee
Northumberland County,2015,11169,Virginia
Jasper County,2009,11173,South Carolina
Greensville County,2023,11174,Virginia
Jackson County,2018,11203,Tennessee
Greensville County,2022,11232,Virginia
Stewart County,2006,11234,Tennessee
Sequatchie County,2009,11236,Tennessee
Charlotte County,2024,11258,Virginia
Trousdale County,2018,11259,Tennessee
Grundy County,2006,11264,Tennessee
Decatur County,2019,11268,Tennessee
Lewis County,2013,11271,Tennessee
Meigs County,2015,11301,Tennessee
Northumberland County,2016,11314,Virginia
Poquoson city,2005,11370,Virginia
Charlotte County,2023,11387,Virginia
Greensville County,2020,11396,Virginia
Decatur County,2021,11408,Tennessee
Jackson County,2019,11409,Tennessee
Stewart County,2007,11409,Tennessee
Grundy County,2007,11423,Tennessee
Greensville County,2021,11424,Virginia
Charlotte County,2022,11427,Virginia
Decatur County,2020,11433,Tennessee
Trousdale County,2019,11434,Tennessee
Poquoson city,2006,11445,Virginia
Amelia County,2005,11450,Virginia
Northumberland County,2017,11460,Virginia
Lewis County,2014,11462,Tennessee
Greensville County,2019,11497,Virginia
Charlotte County,2021,11500,Virginia
Poquoson city,2007,11519,Virginia
Charlotte County,2020,11539,Virginia
Decatur County,2022,11546,Tennessee
New Kent County,2009,11552,Virginia
Amelia County,2006,11568,Virginia
Greensville County,2018,11572,Virginia
Lunenburg County,2005,11582,Virginia
Grundy County,2008,11583,Tennessee
Stewart County,2008,11583,Tennessee
Meigs County,2016,11593,Tennessee
Poquoson city,2008,11594,Virginia
Edgefield County,2006,11605,South Carolina
Northumberland County,2018,11605,Virginia
Trousdale County,2021,11607,Tennessee
Lunenburg County,2006,11607,Virginia
Charlotte County,2019,11624,Virginia
Jackson County,2020,11631,Tennessee
Lunenburg County,2007,11633,Virginia
Trousdale County,2020,11634,Tennessee
Greensville County,2017,11646,Virginia
Lewis County,2015,11653,Tennessee
Lunenburg County,2008,11658,Virginia
Sequatchie County,2010,11665,Tennessee
Poquoson city,2009,11668,Virginia
Lunenburg County,2009,11684,Virginia
Amelia County,2007,11687,Virginia
Charlotte County,2018,11692,Virginia
Decatur County,2023,11709,Tennessee
Lunenburg County,2010,11709,Virginia
Greensville County,2016,11720,Virginia
Lunenburg County,2011,11735,Virginia
Grundy County,2009,11743,Tennessee
Poquoson city,2010,11743,Virginia
Northumberland County,2019,11751,Virginia
Stewart County,2009,11758,Tennessee
Charlotte County,2017,11759,Virginia
Lunenburg County,2012,11760,Virginia
Jackson County,2021,11771,Tennessee
Clarke County,2005,11781,Virginia
Lunenburg County,2013,11786,Virginia
Greensville County,2015,11794,Virginia
Decatur County,2024,11800,Tennessee
Amelia County,2008,11805,Virginia
Lunenburg County,2014,11811,Virginia
Poquoson city,2011,11818,Virginia
Charlotte County,2016,11827,Virginia
Lunenburg County,2015,11837,Virginia
Northumberland County,2020,11837,Virginia
Lewis County,2016,11845,Tennessee
Lunenburg County,2016,11862,Virginia
Greensville County,2014,11868,Virginia
